date,value,close,position,returns,cummax,drawdown
2021-02-01,100000.0,1867.0127699999996,0,0.0,100000.0,0.0
2021-02-02,100000.0,1902.6927699999997,0,0.0,100000.0,0.0
2021-02-03,100000.0,1947.602769999999,0,0.0,100000.0,0.0
2021-02-04,101812.9,2078.5427699999996,14,0.01812899999999984,101812.9,0.0
2021-02-05,101530.0,2070.6927699999997,28,-0.002778626284095531,101812.9,-0.002778626284095531
2021-02-08,103532.60000000002,2126.49277,42,0.019724219442529556,103532.60000000002,0.0
2021-02-09,107213.06,2214.1227699999995,42,0.03554880298572605,107213.06,0.0
2021-02-10,113285.00000000001,2358.6927699999997,42,0.05663433167563747,113285.00000000001,0.0
2021-02-18,107825.00000000001,2228.6927699999997,42,-0.04819702520192437,113285.00000000001,-0.04819702520192437
2021-02-19,107363.00000000001,2217.6927699999997,42,-0.0042847206121029435,113285.00000000001,-0.052275235026702505
2021-02-22,100139.84000000003,2045.71277,42,-0.06727792628745455,113285.00000000001,-0.11603619190537129
2021-02-23,100937.00000000001,2064.6927699999997,42,0.007960468081434913,113285.00000000001,-0.10899942622589043
2021-02-24,95980.99999999999,1946.6927699999992,42,-0.04909993362196252,113285.00000000001,-0.1527474952553297
2021-02-25,96813.94586637257,1907.6927699999997,0,0.008678237009122514,113285.00000000001,-0.14539483721258284
2021-02-26,96813.94586637257,1880.4727699999999,0,0.0,113285.00000000001,-0.14539483721258284
2021-03-01,96813.94586637257,1915.6927699999994,0,0.0,113285.00000000001,-0.14539483721258284
2021-03-02,96813.94586637257,1815.6927699999999,0,0.0,113285.00000000001,-0.14539483721258284
2021-03-03,95808.94586637257,1897.6927699999997,-10,-0.010380735864099044,113285.00000000001,-0.1542662676755744
2021-03-04,96878.94586637257,1790.69277,-10,0.011168059415791465,113285.00000000001,-0.1448210631030361
2021-03-05,96607.84586637258,1817.80277,-10,-0.0027983376323471587,113285.00000000001,-0.14721414250454545
2021-03-08,98638.58586637257,1717.6927699999999,-19,0.021020445925364006,113285.00000000001,-0.12928820350114711
2021-03-09,99250.87586637257,1694.68277,-29,0.006207408537156844,113285.00000000001,-0.12388333966215681
2021-03-10,98358.19586637258,1727.7027699999999,-39,-0.008994177554683347,113285.00000000001,-0.13176328846385166
2021-03-11,95316.58586637258,1805.6927699999999,-39,-0.03092380836399511,113285.00000000001,-0.1586124741459808
2021-03-12,96174.58586637258,1783.6927699999999,-39,0.009001581332370279,113285.00000000001,-0.15103865589996412
2021-03-15,98146.03586637258,1733.14277,-39,0.020498658582623674,113285.00000000001,-0.13363608715741215
2021-03-16,96779.08586637258,1768.1927699999999,-39,-0.013927714837725258,113285.00000000001,-0.1457025566811796
2021-03-17,96004.54586637259,1788.0527699999998,-39,-0.008003175407850338,113285.00000000001,-0.1525396489705383
2021-03-18,94470.2858663726,1827.3927699999995,-39,-0.015981118249707826,113285.00000000001,-0.1660830130522789
2021-03-19,96798.58586637258,1767.6927699999999,-39,0.02464584476110665,113285.00000000001,-0.14553042444831554
2021-03-22,97578.97586637258,1747.68277,-39,0.008061997941553711,113285.00000000001,-0.13864169248909775
2021-03-23,97344.58586637258,1753.6927699999999,-39,-0.0024020543146607842,113285.00000000001,-0.14071072192812317
2021-03-24,97617.58586637258,1746.6927699999999,-39,0.00280447030073927,113285.00000000001,-0.138300870668027
2021-03-25,98319.58586637258,1728.6927699999999,-39,0.007191327195501085,113285.00000000001,-0.13210411028492242
2021-03-26,96681.58586637258,1770.6927699999999,-39,-0.016659956259643227,113285.00000000001,-0.14656321784549964
2021-03-29,95858.68586637257,1791.79277,-39,-0.00851144499364509,113285.00000000001,-0.15382719807236123
2021-03-30,95622.5984708328,1813.74277,0,-0.002462869101594767,113285.00000000001,-0.1559112109208387
2021-03-31,95622.5984708328,1766.6927699999999,0,0.0,113285.00000000001,-0.1559112109208387
2021-04-01,95622.5984708328,1802.1927699999999,0,0.0,113285.00000000001,-0.1559112109208387
2021-04-02,95622.5984708328,1919.6927699999994,0,0.0,113285.00000000001,-0.1559112109208387
2021-04-06,95232.9284708328,1883.7227699999999,11,-0.004075082733908886,113285.00000000001,-0.15935094257110127
2021-04-07,94517.5984708328,1818.6927699999999,11,-0.007511372499892088,113285.00000000001,-0.16566537078313293
2021-04-08,94616.5984708328,1827.6927699999997,11,0.0010474239887776626,113285.00000000001,-0.16479146867782324
