date,action,price,size,units,position
2024-02-07,BUY,1546.61777,33,1,33
2024-02-08,BUY,1585.5977699999999,33,2,66
2024-04-09,SELL,1526.25777,-66,0,0
2024-04-10,SELL,1527.8577699999998,-40,1,-40
2024-04-11,SELL,1505.69777,-40,2,-80
2024-04-24,BUY,1562.5677699999999,80,0,0
2024-05-07,BUY,1631.3777699999998,37,1,37
2024-05-14,SELL,1571.5777699999999,-37,0,0
2024-05-28,SELL,1535.98777,-43,1,-43
2024-05-31,SELL,1516.0877699999999,-45,2,-88
2024-06-04,SELL,1506.0877699999999,-46,3,-134
2024-06-11,SELL,1468.5777699999999,-48,4,-182
2024-07-19,BUY,1387.2737699999998,182,0,0
2024-07-22,BUY,1421.49377,39,1,39
2024-07-24,SELL,1346.6637699999999,-39,0,0
2024-07-30,SELL,1282.4437699999999,-38,1,-38
2024-07-31,SELL,1269.56377,-37,2,-75
2024-08-09,BUY,1356.4937699999998,75,0,0
2024-09-10,SELL,1266.4837699999998,-41,1,-41
2024-09-13,SELL,1227.4637699999998,-40,2,-81
2024-09-18,SELL,1196.4637699999998,-40,3,-121
2024-09-19,SELL,1158.4637699999998,-41,4,-162
2024-09-25,BUY,1296.5137699999998,162,0,0
2024-09-27,BUY,1496.46377,24,1,24
2024-09-30,BUY,1588.4637699999998,23,2,47
2024-10-10,SELL,1518.72377,-47,0,0
2024-11-11,BUY,1486.4637699999998,19,1,19
2024-11-13,BUY,1464.4637699999998,19,2,38
2024-11-15,BUY,1465.4637699999998,20,3,58
2024-11-20,SELL,1439.4637699999998,-58,0,0
2024-11-25,SELL,1407.4637699999998,-22,1,-22
2024-11-27,SELL,1405.4637699999998,-22,2,-44
2024-12-11,BUY,1436.4637699999998,44,0,0
2025-01-03,SELL,1414.84577,-31,1,-31
2025-01-06,SELL,1373.34577,-31,2,-62
2025-01-07,SELL,1365.00577,-31,3,-93
2025-01-09,SELL,1369.33577,-32,4,-125
2025-01-21,BUY,1401.3457700000001,125,0,0
2025-02-06,SELL,1320.35577,-32,1,-32
