Stock,SelectedCount
紫金矿业,35
农业银行,31
寒武纪,30
中际旭创,29
胜宏科技,29
建设银行,28
赤峰黄金,28
新易盛,27
宁德时代,26
中国人保,25
天孚通信,25
工业富联,23
长城军工,22
新华保险,21
比亚迪,21
药明康德,20
北方稀土,18
海光信息,18
科大讯飞,17
赣锋锂业,15
中芯国际,14
贵州茅台,8
