Date,龙头动量轮动策略,科创50ETF,等权重组合
2026-01-06,0.0,0.0,0.0
2026-01-07,0.0,0.0,-0.0032867974122119557
2026-01-08,0.0,0.0,-0.010033887268255893
2026-01-09,0.0,0.0,-0.002777745743498058
2026-01-12,0.0,0.0,0.0
2026-01-13,0.0,-0.02802933125136491,-0.005000391326399779
2026-01-14,0.0,-0.009343110417121636,-0.0041593899285156935
2026-01-15,0.0,-0.013080354583970498,0.0
2026-01-16,0.0,-0.000622874027808109,-0.00489706206814993
2026-01-19,0.0,-0.004982992222464666,-0.011228686195933556
2026-01-20,0.0,-0.021177716945475503,-0.025836764554443798
2026-01-21,0.0,0.0,-0.010521694125187582
2026-01-22,0.0,0.0,-0.008658533747071456
2026-01-23,0.0,0.0,-0.019247022073017216
2026-01-26,0.0,-0.012147265687627943,-0.009921154652815688
2026-01-27,0.0,0.0,-0.0018049369046487008
2026-01-28,0.0,-0.0030276220894267375,0.0
2026-01-29,0.0,-0.030881745312150877,0.0
2026-01-30,0.0,-0.03148726973003618,-0.011160216309566469
2026-02-02,0.0,-0.06781873480315442,-0.04376642053340862
2026-02-03,0.0,-0.05570824644544828,-0.03210279271066319
2026-02-04,0.0,-0.0660021615494985,-0.040050025353819824
2026-02-05,0.0,-0.07992922316086057,-0.05695674967284974
2026-02-06,0.0,-0.08537894292182834,-0.057075300489318595
2026-02-09,0.0,-0.06358006387795727,-0.02802124162842425
2026-02-10,-0.017110505605367705,-0.05449719760967786,-0.026550846295819483
2026-02-11,-0.0013797884311279934,-0.06479111271372809,-0.02611588867604267
2026-02-12,0.0,-0.04904747784870989,-0.015438222419562046
2026-02-13,-0.03758231887795458,-0.05570824644544828,-0.0315489868460091
2026-02-24,0.0,-0.058735868534875016,-0.018095522339993616
2026-02-25,0.0,-0.05328614877390725,-0.0070137202115557774
2026-02-26,0.0,-0.04601985575928356,-0.003471220212138965
2026-02-27,0.0,-0.04480880692351315,-0.003960269626743504
2026-03-02,-0.00815132865869038,-0.05813034411698971,0.0
2026-03-03,-0.04318427714955959,-0.1065722975478142,-0.02805836242516017
2026-03-04,-0.046807051159562234,-0.10959991963724083,-0.04076772812801852
2026-03-05,-0.05237226499617096,-0.09567285802587866,-0.03499488442712167
2026-03-06,-0.06932338979917876,-0.0902231382649108,-0.04240849735560934
2026-03-09,-0.08793010210916312,-0.10596677312992889,-0.05263227528830189
2026-03-10,-0.048038063110956486,-0.08780104059336957,-0.030840939997760226
2026-03-11,-0.051649857961702315,-0.0987004801153051,-0.03200328396347803
2026-03-12,-0.050672712787847816,-0.11141649289089646,-0.03891605080164699
2026-03-13,-0.05906636717584903,-0.1150496393982083,-0.044595844102075635
2026-03-16,-0.05934468014938999,-0.11020544405512583,-0.04242774567452217
2026-03-17,-0.09977668695658282,-0.12837117659168495,-0.05661809797410795
2026-03-18,-0.0754214262776384,-0.11807726148763474,-0.04375176778756393
2026-03-19,-0.06890538239491753,-0.13866509169573518,-0.0594386322651604
2026-03-20,-0.05956020087132811,-0.15259215330709716,-0.0573312258005611
2026-03-23,-0.0683961585322453,-0.1883180939623301,-0.09142140637973657
2026-03-24,-0.07368743126167457,-0.17015236142577098,-0.07712329313181893
2026-03-25,-0.07346784807653882,-0.15440872656075297,-0.05462293288661759
2026-03-26,-0.07987026637457001,-0.1713634102615414,-0.06663735341768508
2026-03-27,-0.06950594003615969,-0.1634915928290324,-0.057316197615167624
2026-03-30,-0.06894757136538578,-0.17015236142577067,-0.05666119359102608
2026-03-31,-0.07668468494341282,-0.19134571605175632,-0.06510560860130067
2026-04-01,-0.07925990774242228,-0.1640971172469177,-0.04026787682947904
2026-04-02,-0.08032784882060674,-0.18771256954444457,-0.05171028757748946
2026-04-03,-0.09689243750882778,-0.19134571605175643,-0.05359424216018165
2026-04-07,-0.1050536996925602,-0.18044627652982098,-0.05529161980778832
2026-04-08,-0.06718848285356022,-0.13018774984534037,-0.010173399847200958
2026-04-09,-0.0719708652079228,-0.13624299402419354,-0.01741798901886165
2026-04-10,-0.032626525194106665,-0.1229214568307169,0.0
2026-04-13,-0.031071405707948235,-0.11626068823397831,0.0
2026-04-14,-0.01056407893995494,-0.09748943127953368,0.0
2026-04-15,-0.03059292391493807,-0.09567285802587785,-0.010363333431567227
2026-04-16,-0.0009685381545798571,-0.08598446733971304,0.0
2026-04-17,0.0,-0.08537894292182753,0.0
2026-04-20,-0.004863519960563561,-0.06842425922103913,0.0
2026-04-21,-0.00235114250443876,-0.082351320832401,-0.006552161321582673
2026-04-22,0.0,-0.06721321038526831,0.0
2026-04-23,-0.0010744029684345894,-0.07992922316085976,-0.016886258018477675
2026-04-24,-0.016865257217075918,-0.0660021615494977,-0.0234556392906202
2026-04-27,-0.01590169197589363,-0.029670696476379457,-0.026750121908636435
2026-04-28,-0.02070021900866895,-0.04359775808774153,-0.03492745197740951
2026-04-29,-0.02486057745365382,-0.039359087162544375,-0.018030641919117324
2026-04-30,0.0,0.0,-0.011564684228201089
2026-05-06,0.0,0.0,0.0
2026-05-07,0.0,0.0,0.0
2026-05-08,-0.032811591140665036,-0.023589395369186965,-0.008973479985237993
2026-05-11,0.0,0.0,0.0
2026-05-12,0.0,0.0,0.0
2026-05-13,0.0,0.0,0.0
2026-05-14,-0.02064665108298337,-0.02664590325616625,-0.02187204250504416
2026-05-15,-0.04876047598669436,-0.04156760907961935,-0.03901478226355481
2026-05-18,-0.04978432907738626,-0.03304092003764615,-0.047587620789882545
2026-05-19,-0.029082714645503133,0.0,-0.0520373622466115
2026-05-20,-0.0025231151208853484,0.0,-0.047964026395469636
2026-05-21,-0.034394015853043934,-0.03655156918302449,-0.06877708797022114
2026-05-22,-0.016695098091805156,-0.022651676676803803,-0.046363460259433345
2026-05-25,0.0,0.0,-0.01503868684961202
2026-05-26,-4.96723993305818e-05,-0.014929376101693093,-0.001285238970464865
2026-05-27,-0.029248549293625543,-0.04329519069491028,-0.01502400037888705
2026-05-28,0.0,-0.027868168723160582,-0.0032013914450849577
2026-05-29,-0.05281696837973877,-0.07663746398869173,-0.018324612237935457
