策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
龙头动量轮动策略,0.5852987618147643,0.3338389643908477,1.546811874993925,-0.24871182767075092,2.3533209791276715,2.5605344365912885,0.483271375464684,260,538
科创50ETF,0.22491731162546835,0.3645066344759209,0.7321585720643399,-0.23563756391999932,0.9545053338856848,1.298017938179751,0.4888475836431227,263,538
等权重组合,0.9381552659007892,0.3613318680236953,2.0118268168375764,-0.18566928406080566,5.0528296624095805,3.4852117063938293,0.5092936802973977,274,538
