策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
动量策略,0.06404691843725918,0.11115034764311675,0.6142997530125343,-0.08434553260750488,0.7593397831192358,0.8513777312202411,0.24146981627296588,92,381
沪深300ETF,0.16245740735831982,0.16876342013437912,0.9769129118224736,-0.10520779885653446,1.5441574590858345,1.3629705065079236,0.5380577427821522,205,381
等权重组合,0.06825408448743708,0.11419552251086428,0.6354335628675315,-0.1150412364747983,0.5933010334289068,0.8683858478833072,0.5406824146981627,206,381
