Date,动量策略,沪深300ETF,等权重组合
2025-06-04,1.0,1.0036681144922521,1.00000943
2025-06-05,1.0,1.006169914492252,1.0003018
2025-06-06,1.0,1.006670274492252,0.9997210799999999
2025-06-09,1.0,1.0089218944922518,0.9982219799999998
2025-06-10,1.0,1.0031677544922517,0.9969362199999998
2025-06-11,1.0,1.0111735144922516,1.0006868499999997
2025-06-12,1.0,1.0116738744922518,1.0021595599999997
2025-06-13,1.0,1.0051691944922518,1.0008384199999996
2025-06-16,1.0,1.007670994492252,1.0027150199999995
2025-06-17,1.0,1.0074208144922518,1.0014726299999996
2025-06-18,1.0,0.9861555144922518,0.9954366499999996
2025-06-19,1.0,0.9783999344922519,0.9907675899999995
2025-06-20,1.0,0.9796508344922519,0.9905941199999996
2025-06-23,1.0,0.9829031744922518,0.9918712199999996
2025-06-24,1.0,0.9941612744922518,0.9974001099999997
2025-06-25,1.0,1.010422974492252,1.0021747599999997
2025-06-26,1.0,1.006670274492252,1.0029421999999997
2025-06-27,1.0,1.000916134492252,1.0014091199999997
2025-06-30,1.0,1.005669554492252,1.0038086899999998
2025-07-01,1.0,1.007170634492252,1.0058420499999996
2025-07-02,1.0,1.008171354492252,1.0061544899999997
2025-07-03,1.0,1.0139254944922518,1.0097924799999998
2025-07-04,1.0,1.018178554492252,1.0111965299999996
2025-07-07,1.0,1.0136753144922521,1.0081610599999995
2025-07-08,1.001573223731016,1.0221814344922522,1.0119063799999994
2025-07-09,0.999299583731016,1.021430894492252,1.0079484499999993
2025-07-10,1.002983463731016,1.0264344944922523,1.0125578099999994
2025-07-11,1.001009703731016,1.0299370144922522,1.0126490399999994
2025-07-14,0.997290863731016,1.0296868344922523,1.0131248899999994
2025-07-15,1.004412823731016,1.0296868344922523,1.0169924199999993
2025-07-16,1.0017496337310159,1.0274352144922523,1.0136867699999992
2025-07-17,1.006009063731016,1.0356911544922525,1.017524829999999
2025-07-18,1.0101247637310158,1.0431965544922523,1.0215411099999991
2025-07-21,1.011322513731016,1.0494510544922524,1.024557849999999
2025-07-22,1.015585023731016,1.0604589744922521,1.028433419999999
2025-07-23,1.0148836337310163,1.0599586144922521,1.030300749999999
2025-07-24,1.0178079037310162,1.066463294492252,1.028277999999999
2025-07-25,1.0162864137310164,1.0609593344922523,1.0268669599999989
2025-07-28,1.0204021337310165,1.0637113144922523,1.0297406999999987
2025-07-29,1.0224832537310165,1.0689650944922524,1.0300714699999989
2025-07-30,1.0218944537310166,1.0682145544922523,1.0298698299999987
2025-07-31,1.0164491037310166,1.0489506944922524,1.0279443299999986
2025-08-01,1.0101034437310166,1.0434467344922522,1.0213397999999987
2025-08-04,1.0099628437310166,1.0482001544922521,1.0220012999999986
2025-08-05,1.0152041137310166,1.0559557344922519,1.0292219899999984
2025-08-06,1.0158771637310169,1.0587077144922519,1.0289109999999984
2025-08-07,1.0165292437310167,1.0584575344922518,1.0316234099999984
2025-08-08,1.016382803731017,1.0559557344922519,1.0329143799999985
2025-08-11,1.017267653731017,1.060709154492252,1.0341944899999986
2025-08-12,1.018520863731017,1.067213834492252,1.0340337599999985
2025-08-13,1.024142453731017,1.075970134492252,1.0396604899999986
2025-08-14,1.022943743731017,1.0742188744922523,1.0388789699999985
2025-08-15,1.026407473731017,1.0839758944922522,1.0413739599999985
2025-08-18,1.026254753731017,1.0919816544922523,1.0418759599999985
2025-08-19,1.023618223731017,1.0864776944922523,1.0386304099999983
2025-08-20,1.0262875237310172,1.1012383144922524,1.0387481799999985
2025-08-21,1.0280205237310172,1.1047408344922527,1.0412614599999985
2025-08-22,1.034528503731017,1.1300090144922528,1.0448660499999984
2025-08-25,1.043619423731017,1.151524494492253,1.0554578399999985
2025-08-26,1.040649513731017,1.145520174492253,1.0533968199999986
2025-08-27,1.034510363731017,1.1290082944922526,1.0515017299999987
2025-08-28,1.042660323731017,1.1500234144922528,1.0556491999999986
2025-08-29,1.0469282637310169,1.1605309744922527,1.0587440299999986
