Date,动量策略,沪深300ETF,等权重组合
2025-01-03,0.0,0.0,0.0
2025-01-06,0.0,-0.0043300944727052435,-0.0010846957215894322
2025-01-07,0.0,0.0,0.0
2025-01-08,0.0,-0.0016189658631089714,-0.00040645778851689207
2025-01-09,0.0,-0.003777587013920859,-0.0009484015065394149
2025-01-10,0.0,-0.015380175699534614,-0.0038613489909105304
2025-01-13,0.0,-0.01942759035730665,-0.004877493462202705
2025-01-14,0.0,0.0,0.0
2025-01-15,0.0,-0.006162800565723579,-0.0015553487270308643
2025-01-16,0.0,-0.005626904864356142,-0.0014201010116368714
2025-01-17,0.0,-0.0021435828054693026,-0.0005409908615759721
2025-01-20,0.0,0.0,0.0
2025-01-21,0.0,0.0,0.0
2025-01-22,0.0,-0.009604944636271385,-0.002431827683983838
2025-01-23,0.0,-0.006670100441855079,-0.0016887692249887981
2025-01-24,0.0,0.0,0.0
2025-01-27,0.0,-0.005858746429231307,-0.0014854145317328797
2025-02-05,0.0,-0.011184879546714243,-0.00283579137876277
2025-02-06,0.0,0.0,0.0
2025-02-07,0.0,0.0,0.0
2025-02-10,0.0,0.0,0.0
2025-02-11,0.0,-0.004190599468559971,-0.001075725677221843
2025-02-12,0.0,0.0,0.0
2025-02-13,0.0,-0.0026041195376677205,-0.0006713355605255892
2025-02-14,0.0,0.0,0.0
2025-02-17,0.0,0.0,0.0
2025-02-18,0.0,-0.0074992187317920005,-0.001943350596546573
2025-02-19,0.0,-0.0020687499949772516,-0.0005360967162888843
2025-02-20,0.0,-0.005171874987442915,-0.0013402417907218806
2025-02-21,0.0,0.0,0.0
2025-02-24,0.0,-0.0033324194849683577,-0.0008691768218986248
2025-02-25,0.0,-0.01384235786063763,-0.0036104267986559442
2025-02-26,0.0,-0.005383139168026005,-0.001404054866143966
2025-02-27,0.0,-0.0020507196830576472,-0.0005348780442453414
2025-02-28,0.0,-0.020763536790956234,-0.005415640197984026
2025-03-03,0.0,-0.02409595627592459,-0.006284817019882651
2025-03-04,0.0,-0.025121316117453416,-0.006552256042005322
2025-03-05,0.0,-0.020763536790956445,-0.005415640197984246
2025-03-06,0.0,-0.006664838969936715,-0.0017383536437976888
2025-03-07,0.0,-0.00922823857375835,-0.0024069511991042557
2025-03-10,0.0,-0.01332967793987343,-0.0034767072875949386
2025-03-11,0.0,-0.010253598415287385,-0.002674390221227146
2025-03-12,0.0,-0.012816998019109233,-0.0033429877765339326
2025-03-13,0.0,-0.01794379722675271,-0.004680182887147286
2025-03-14,0.0,0.0,0.0
2025-03-17,0.0,-0.003051828054624747,-0.0008006575814929781
2025-03-18,0.0,-0.0007629570136562395,-0.0002001643953732993
2025-03-19,0.0,0.0,0.0
2025-03-20,0.0,-0.008386128894361673,-0.0022013677136682344
2025-03-21,0.0,-0.02515838668308481,-0.006604103141004703
2025-03-24,0.0,-0.020838259676898428,-0.0054700652279029115
2025-03-25,0.0,-0.020330009440876675,-0.0053366490028319965
2025-03-26,0.0,-0.024396011329051965,-0.00640397880339844
2025-03-27,0.0,-0.02083825967689864,-0.0054700652279029115
2025-03-28,0.0,-0.025666636919106773,-0.006737519366075398
