Date,行业动量轮动策略,科创50ETF,行业等权重组合
2024-01-03,0.0,0.0,0.0
2024-01-04,0.0,-0.009049091099828589,0.0
2024-01-05,0.0,-0.028278409686964046,0.0
2024-01-08,0.0,-0.05655681937392775,0.0
2024-01-09,0.0,-0.05655681937392775,0.0
2024-01-10,0.0,-0.06334363769879911,0.0
2024-01-11,0.0,-0.05090113743653501,0.0
2024-01-12,0.0,-0.06334363769879911,0.0
2024-01-15,0.0,-0.06899931963619196,0.0
2024-01-16,0.0,-0.06447477408627761,0.0
2024-01-17,0.0,-0.08935977461080603,0.0
2024-01-18,0.0,-0.07691727434854194,0.0
2024-01-19,0.0,-0.08031068351097767,0.0
2024-01-22,0.0,-0.11085136597289862,0.0
2024-01-23,0.0,-0.09954000209811313,0.0
2024-01-24,0.0,-0.0972777293231559,0.0
2024-01-25,0.0,-0.07917954712349906,0.0
2024-01-26,0.0,-0.10067113848559185,0.0
2024-01-29,0.0,-0.12442500262264156,0.0
2024-01-30,0.0,-0.15722795785951973,0.0
2024-01-31,0.0,-0.17193273089674116,0.0
2024-02-01,0.0,-0.1674081853468267,0.0
2024-02-02,0.0,-0.18889977670891928,0.0
2024-02-05,0.0,-0.18663750393396195,0.0
2024-02-06,0.0,-0.1323429573349913,0.0
2024-02-07,0.0,-0.10972022958541999,0.0
2024-02-08,0.0,-0.09954000209811291,0.0
2024-02-19,0.0,-0.08596636544837019,0.0
2024-02-20,0.0,-0.09501545654819855,0.0
2024-02-21,0.0,-0.09388432016072006,0.0
2024-02-22,0.0,-0.08483522906089146,0.0
2024-02-23,0.0,-0.08257295628593446,0.0
2024-02-26,0.0,-0.0769172743485416,0.0
2024-02-27,0.0,-0.04298318272418481,0.0
2024-02-28,0.0,-0.07465500157358448,0.0
2024-02-29,0.0,-0.030540682461920602,0.0
2024-03-01,0.0,-0.02149159136209224,0.0
2024-03-04,0.0,-0.020360454974613734,0.0
2024-03-05,0.0,-0.01922931858713523,0.0
2024-03-06,0.0,-0.027147273299485093,0.0
2024-03-07,0.0,-0.047507728274099166,0.0
2024-03-08,0.0,-0.03732750078679207,0.0
2024-03-11,0.0,-0.01922931858713523,0.0
2024-03-12,0.0,-0.020360454974613848,0.0
2024-03-13,0.0,-0.023753864137049583,0.0
2024-03-14,0.0,-0.03619636439931379,0.0
2024-03-15,0.0,-0.030540682461921053,0.0
2024-03-18,0.0,-0.01131136387478582,0.0
2024-03-19,0.0,-0.02488500052452831,0.0
2024-03-20,0.0,-0.022622727749571303,0.0
2024-03-21,0.0,-0.03167181884939978,0.0
2024-03-22,0.0,-0.0475077282740995,0.0
2024-03-25,0.0,-0.061081364923842106,0.0
2024-03-26,0.0,-0.0723927287986277,0.0
2024-03-27,0.0,-0.0961465929356774,0.0
2024-03-28,0.0,-0.08483522906089168,0.0
2024-03-29,0.0,-0.08370409267341307,0.0
2024-04-01,0.0,-0.06899931963619185,0.0
2024-04-02,0.0,-0.07691727434854172,0.0
2024-04-03,0.0,-0.09049091099828442,0.0
2024-04-08,0.0,-0.10858909319794138,0.0
2024-04-09,0.0,-0.10067113848559174,0.0
2024-04-10,0.0,-0.11424477513533435,0.0
2024-04-11,0.0,-0.11311363874785572,0.0
2024-04-12,0.0,-0.11424477513533435,0.0
2024-04-15,0.0,-0.10067113848559163,0.0
2024-04-16,0.0,-0.11990045707272698,0.0
2024-04-17,0.0,-0.10067113848559152,0.0
2024-04-18,0.0,-0.10519568403550564,0.0
2024-04-19,0.0,-0.12329386623516249,0.0
2024-04-22,0.0,-0.12216272984768387,0.0
2024-04-23,0.0,-0.1255561390101196,0.0
2024-04-24,0.0,-0.11424477513533413,0.0
2024-04-25,0.0,-0.11990045707272687,0.0
2024-04-26,0.0,-0.09840886571063429,0.0
2024-04-29,0.0,-0.07013045602367013,0.0
2024-04-30,0.0,-0.0791795471234986,-0.006964443823558074
2024-05-06,0.0,-0.06899931963619163,0.0
2024-05-07,0.0,-0.07691727434854148,-0.0028585241825852437
2024-05-08,0.0,-0.08709750183584858,-0.018021157667028564
2024-05-09,0.0,-0.06673704686123451,-0.004769398397526061
2024-05-10,0.0,-0.07917954712349871,-0.00789378595472955
2024-05-13,0.0,-0.08596636544837008,-0.014827710826393965
2024-05-14,0.0,-0.0882286382233272,-0.012163004424035123
2024-05-15,0.0,-0.1018022748730698,-0.01847278786684432
2024-05-16,0.0,-0.10519568403550553,-0.012537650742438419
2024-05-17,0.0,-0.09501545654819844,0.0
2024-05-20,0.0,-0.09614659293567694,-0.0005659775708894427
2024-05-21,0.0,-0.10293341126054831,-0.007904543810460263
2024-05-22,0.0,-0.09614659293567694,-0.005089113375563721
2024-05-23,0.0,-0.10972022958541966,-0.02105968694218252
