策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
行业动量轮动策略,0.10882100378564075,0.1880785078912221,0.6420481842413973,-0.08755006759015756,1.242957393191944,0.9963933109161549,0.35106382978723405,33,94
科创50ETF,0.7877903172599434,0.3630330547232309,1.7810082251107322,-0.19134571605175651,4.117104545193248,2.8279662053898504,0.5531914893617021,52,94
行业等权重组合,-0.055719275401091894,0.166937825839641,-0.26077507323600796,-0.12939857802586036,-0.4306019142649031,-0.3685862716860164,0.43617021276595747,41,94
