Date,行业动量轮动策略,科创50ETF,行业等权重组合
2026-01-05,1.0,1.015980219822762,1.00795491
2026-01-06,1.0,1.0260207698227621,1.0069903199999999
2026-01-07,1.0,1.033383839822762,1.0074443199999998
2026-01-08,1.0,1.048779349822762,1.0170309000000002
2026-01-11,1.0,1.075554149822762,1.0343789099999998
2026-01-12,1.0,1.045432499822762,1.02462156
2026-01-13,1.0,1.065513599822762,1.0235645
2026-01-14,1.0,1.0614973798227618,1.0217385600000002
2026-01-15,1.0,1.074884779822762,1.02035545
2026-01-18,1.0,1.070199189822762,1.01922094
2026-01-19,1.0,1.052795569822762,1.01442901
2026-01-20,1.0,1.090280289822762,1.01993025
2026-01-21,1.0,1.094296509822762,1.0184029600000002
2026-01-22,1.0,1.1029983198227618,1.0225933700000003
2026-01-25,1.0,1.089610919822762,1.01230853
2026-01-26,1.0,1.106345169822762,1.0103371800000003
2026-01-27,1.0,1.1029983198227618,1.0097579500000002
2026-01-28,1.0,1.0722072998227619,1.0186833900000003
2026-01-29,1.0,1.071537929822762,1.0068743300000003
2026-02-01,1.0,1.0313757298227622,0.9859651500000005
2026-02-02,1.0,1.0447631298227622,0.9965577800000004
2026-02-03,1.0,1.0333838398227622,0.9964055700000003
2026-02-04,1.0,1.017988329822762,0.9938692400000002
2026-02-05,1.0,1.011963999822762,0.9890359800000003
2026-02-08,1.00076906,1.0360613198227622,1.0037658600000008
2026-02-09,0.9941701600000001,1.046101869822762,1.0083767500000005
2026-02-10,0.9941701600000001,1.034722579822762,1.0066582600000005
2026-02-11,0.9866178800000002,1.0521261998227622,1.0043886000000004
2026-02-12,0.9864914000000002,1.0447631298227622,0.9997820900000005
2026-02-23,0.9787213200000004,1.0414162798227622,0.9917437800000005
2026-02-24,0.9874158200000003,1.0474406098227622,0.9964609000000005
2026-02-25,0.9747515000000004,1.0554730498227622,0.9893040500000005
2026-02-26,0.9762449000000006,1.056811789822762,0.9897187200000005
2026-03-01,0.9606461400000005,1.0420856498227622,0.9751324100000006
2026-03-02,0.9511598200000005,0.9885360498227622,0.9499935100000005
2026-03-03,0.9484430800000007,0.9851891998227621,0.9411424800000004
2026-03-04,0.9503239000000006,1.0005847098227623,0.9490292400000007
2026-03-05,0.9534586000000005,1.0066090398227623,0.9570444900000005
2026-03-08,0.9482341000000003,0.989205419822762,0.9495485700000008
2026-03-09,0.9554821600000002,1.009286519822762,0.9632875000000003
2026-03-10,0.9718282200000004,0.9972378598227619,0.9634848500000004
2026-03-11,0.9741148200000005,0.983181089822762,0.9594145300000007
2026-03-12,0.9715127200000004,0.979164869822762,0.9560217600000004
2026-03-15,0.9765160600000006,0.9845198298227619,0.9636691600000006
2026-03-16,0.9607566400000008,0.9644387298227619,0.9566508400000003
2026-03-17,0.9546186700000007,0.975818019822762,0.9595167900000006
2026-03-18,0.9319100900000009,0.9530594398227619,0.9427951400000004
2026-03-19,0.9345121400000007,0.937663929822762,0.9325225800000002
2026-03-22,0.9147099000000005,0.8981710998227621,0.9005793300000005
