Date,行业动量轮动策略,科创50ETF,行业等权重组合
2026-01-06,0.0,0.0,0.0
2026-01-07,0.0,0.0,-0.0005968558984652397
2026-01-08,0.0,0.0,0.0
2026-01-09,0.0,0.0,0.0
2026-01-12,0.0,0.0,0.0
2026-01-13,0.0,-0.028005702925290914,-0.010276394934819416
2026-01-14,0.0,-0.009335234308430305,-0.01096103685009316
2026-01-15,0.0,-0.013069328031802633,-0.012175784774065635
2026-01-16,0.0,-0.0006223489538953537,-0.013233212404037359
2026-01-19,0.0,-0.004978791631162829,-0.01418073126958456
2026-01-20,0.0,-0.021159864432442024,-0.020528071818921714
2026-01-21,0.0,0.0,-0.01267324275818804
2026-01-22,0.0,0.0,-0.014069750107239713
2026-01-23,0.0,0.0,-0.008932935215624365
2026-01-26,0.0,-0.01213728050116252,-0.020161167461427376
2026-01-27,0.0,0.0,-0.021018576047920574
2026-01-28,0.0,-0.003025140879438561,-0.02168055814705042
2026-01-29,0.0,-0.030856436970271274,-0.020550380581037704
2026-01-30,0.0,-0.031461465146158746,-0.02933489688629523
2026-02-02,0.0,-0.06776315569941888,-0.05462070776339159
2026-02-03,0.0,-0.05566259218166543,-0.04286639941676949
2026-02-04,0.0,-0.06594807117175586,-0.04495878721894039
2026-02-05,0.0,-0.07986371921717231,-0.04837975582028348
2026-02-06,0.0,-0.08530897280016136,-0.05198372455820106
2026-02-09,0.0,-0.06352795846820516,-0.03515359815951517
2026-02-10,0.0,-0.054452535829890285,-0.028315166688146935
2026-02-11,0.0,-0.0647380148199807,-0.030278467596270963
2026-02-12,0.0,-0.049007282246901034,-0.03112835016148509
2026-02-13,0.0,-0.05566259218166543,-0.036391823422709906
2026-02-24,-0.01294476,-0.05868773306110379,-0.04453059748433752
2026-02-25,-0.01338549,-0.05324247947811474,-0.03966428655241915
2026-02-26,-0.019716029999999996,-0.045982141367462676,-0.04662119154469568
2026-02-27,-0.01883748999999979,-0.04477208501568753,-0.04632172322323411
2026-03-02,-0.030182219999999815,-0.058082704885216115,-0.06124427493397334
2026-03-03,-0.030282219999999804,-0.10648495895622968,-0.08979342634501816
2026-03-04,-0.030282219999999804,-0.10951009983566815,-0.09763959927904096
2026-03-05,-0.030282219999999804,-0.09559445179025158,-0.08880267974447116
2026-03-06,-0.030282219999999804,-0.09014919820726254,-0.08086506925863196
2026-03-09,-0.030282219999999804,-0.1058799307803422,-0.08855778830191804
2026-03-10,-0.0260744599999998,-0.08772908550371204,-0.07338287202589948
2026-03-11,-0.010640079999999719,-0.09861959266969024,-0.07280854763658923
2026-03-12,-0.007446759999999553,-0.11132518436333126,-0.07745928254174687
2026-03-13,-0.010107859999999746,-0.11495535341865729,-0.08238221416026927
2026-03-16,-0.0069145399999998025,-0.11011512801155601,-0.07486497404123796
2026-03-17,-0.0265653499999996,-0.12826597328818606,-0.08270959849037159
2026-03-18,-0.030172929999999654,-0.11798049429809565,-0.07856315990943788
2026-03-19,-0.04675682999999964,-0.1385514522782765,-0.09609984745981198
2026-03-20,-0.03757218999999956,-0.15246710032369276,-0.10713984742134003
2026-03-23,-0.04313982999999977,-0.18816376270106522,-0.14084790608294911
2026-03-24,-0.03724337733985161,-0.17001291742443514,-0.12692993153965623
