Date,人工智能ETF,科创50ETF,半导体ETF,机器人ETF嘉实,消费50ETF,游戏ETF,恒生科技ETF,创新药ETF,电池ETF,银行ETF易方达,房地产ETF,权重合计
2026-02-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-13,0.0,0.0,0.0,0.0,0.24893640970812048,0.2705156811849988,0.0,0.0,0.0,0.0,0.4805479091068808,1.0
2026-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2026-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588905963448944,0.411094036551056,0.0,1.0
2026-03-16,0.07148728326299982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6893642477084914,0.2391484690285089,0.0,1.0
2026-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27273066345259483,0.23490122112944353,0.49236811541796155,0.0,0.9999999999999999
2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716414707213275,0.0,0.32835852927867243,0.0,1.0
2026-04-14,0.34655767338375104,0.0,0.0075345533713221426,0.0,0.0,0.0,0.0,0.3641789906161523,0.2817287826287745,0.0,0.0,1.0
2026-04-21,0.24541976466704218,0.0,0.16943255220147171,0.20314924832725356,0.0,0.0,0.0,0.0,0.17914280327276638,0.2028556315314661,0.0,1.0
2026-04-28,0.2975478582502894,0.0,0.3020327761716937,0.20425519864038352,0.0,0.0,0.0,0.0,0.12217882625481416,0.0739853406828192,0.0,1.0
2026-05-08,0.23603668926198865,0.0,0.21803283469306559,0.22346552550332555,0.0,0.0,0.0,0.0,0.1259321247685545,0.0,0.19653282577306566,1.0
2026-05-15,0.28086239077482644,0.0,0.3003767730576145,0.3091301566790696,0.0,0.0,0.03736729230446484,0.0,0.0,0.0,0.07226338718402452,0.9999999999999999
2026-05-22,0.2404141327255255,0.0,0.39237528561381585,0.3672105816606586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-05-29,0.31993718489352163,0.0,0.3723948223711975,0.28085689364781513,0.0,0.0,0.02681109908746571,0.0,0.0,0.0,0.0,1.0
2026-06-05,0.2342909073732427,0.0,0.46436762621768773,0.3013414664090695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-06-12,0.0,0.0,0.18361295041486697,0.0,0.0,0.0,0.0,0.0,0.0,0.816387049585133,0.0,1.0
2026-06-22,0.36983134838200254,0.0,0.5319531940720598,0.0,0.0,0.0,0.0,0.0,0.04907328943193704,0.04914216811400064,0.0,1.0
2026-06-29,0.19020046602604607,0.0,0.596575166919238,0.0,0.0,0.0,0.0,0.2132243670547159,0.0,0.0,0.0,0.9999999999999999
2026-07-06,0.09156347624171957,0.0,0.40462110666596746,0.0021259542552424368,0.0,0.0,0.0,0.5016894628370705,0.0,0.0,0.0,1.0
2026-07-13,0.2301329066787223,0.0,0.34144560656026673,0.0,0.0,0.050799608284522964,0.0,0.3776218784764881,0.0,0.0,0.0,1.0
2026-07-20,0.0,0.0,0.0,0.0,0.37112377621747233,0.0,0.0977542751042668,0.3012173288332555,0.0,0.2299046198450053,0.0,1.0
2026-07-27,0.0,0.0,0.0,0.0,0.3440441518225155,0.0,0.18976214525554058,0.113330558191811,0.0,0.35286314473013286,0.0,1.0
2026-08-03,0.0,0.0,0.0,0.0,0.34904067672646744,0.061689771180908834,0.18016286771111487,0.0,0.0,0.4068238303523378,0.002282854029171126,1.0
2026-08-10,0.0,0.0,0.0,0.0,0.3520546547476333,0.159045098590199,0.0,0.1734913389908762,0.15049892015057717,0.0,0.1649099875207143,1.0
2026-08-17,0.0,0.0,0.0,0.21559252151390904,0.0,0.09999128544913148,0.0,0.14913863587648254,0.2965643492997307,0.0,0.23871320786074623,1.0
2026-08-24,0.0,0.0,0.0,0.0,0.07691088545335903,0.23635811637533072,0.0,0.0,0.07356324904380465,0.28085995127292707,0.3323077978545786,1.0
2026-08-31,0.16815062758478735,0.0,0.4441927158941579,0.08439485166745835,0.0,0.0,0.0,0.12543847370975017,0.0,0.0,0.17782333114384632,1.0
2026-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189288504008489,0.08107114959915099,0.9999999999999999
2026-09-14,0.0,0.0,0.0,0.0,0.10403682214676058,0.0,0.0,0.0,0.0,0.8959631778532394,0.0,1.0
