Date,ETF,Selected,Weight,Momentum,AdjMomentum
2026-04-21,人工智能ETF,True,0.2454197646670417,0.008807312479498803,0.3774919851955225
2026-04-21,军工ETF,False,0.0,,
2026-04-21,创新药ETF,False,0.0,0.00513512225449928,0.25381421763541523
2026-04-21,半导体ETF,True,0.16943255220147171,0.005620682948443967,0.2606123861867874
2026-04-21,恒生科技ETF,False,0.0,0.003410459830104168,0.18523439108517925
2026-04-21,房地产ETF,False,0.0,0.002421644184257471,0.1429963750043338
2026-04-21,旅游ETF,False,0.0,0.001881415131144415,0.10238954022360752
2026-04-21,机器人ETF嘉实,True,0.20314924832725356,0.005935368668407182,0.3124736638309218
2026-04-21,消费50ETF,False,0.0,0.0002534497193722951,0.03419657725718523
2026-04-21,游戏ETF,False,0.0,0.003944039119009912,0.15661266384540448
2026-04-21,电池ETF,True,0.17914280327276572,0.005578617363440702,0.27554819202387115
2026-04-21,科创50ETF,False,0.0,,
2026-04-21,银行ETF易方达,True,0.20285563153146724,0.002360520367865915,0.31202203766593667
2026-04-28,人工智能ETF,True,0.2975478582502886,0.00841455027145122,0.35481649352665184
2026-04-28,军工ETF,False,0.0,,
2026-04-28,创新药ETF,False,0.0,0.0011557787199489688,0.07100244574347135
2026-04-28,半导体ETF,True,0.30203277617169355,0.008512073017841505,0.3601646175561287
2026-04-28,恒生科技ETF,False,0.0,0.0009825321929065212,0.055124107286477
2026-04-28,房地产ETF,False,0.0,0.0006934052489026121,0.04612528431114639
2026-04-28,旅游ETF,False,0.0,,
2026-04-28,机器人ETF嘉实,True,0.2042551986403834,0.004787195110602088,0.24356792145083536
2026-04-28,消费50ETF,False,0.0,,
2026-04-28,游戏ETF,False,0.0,0.0007990004578756038,0.032820728705702566
2026-04-28,电池ETF,True,0.12217882625481433,0.003148922497257639,0.14569442028539017
2026-04-28,科创50ETF,False,0.0,,
2026-04-28,银行ETF易方达,True,0.07398534068282005,0.000580037515630849,0.08822519949503783
2026-05-08,人工智能ETF,True,0.23603668926198793,0.013167679461032328,0.6063296574353643
2026-05-08,军工ETF,False,0.0,,
2026-05-08,创新药ETF,False,0.0,,
2026-05-08,半导体ETF,True,0.21803283469306556,0.01432422054217854,0.5600814618373725
2026-05-08,恒生科技ETF,False,0.0,0.004117907301142481,0.23892208858705333
2026-05-08,房地产ETF,True,0.1965328257730664,0.006748692761745501,0.5048523655300141
2026-05-08,旅游ETF,False,0.0,,
2026-05-08,机器人ETF嘉实,True,0.22346552550332552,0.010970621588207424,0.5740369259994758
2026-05-08,消费50ETF,False,0.0,,
2026-05-08,游戏ETF,False,0.0,0.00307610833443151,0.14577134750247228
2026-05-08,电池ETF,True,0.1259321247685547,0.007864539276552646,0.3234937005334534
2026-05-08,科创50ETF,False,0.0,,
2026-05-08,银行ETF易方达,False,0.0,,
2026-05-15,人工智能ETF,True,0.28086239077482594,0.008599957329712055,0.41831777741986054
2026-05-15,军工ETF,False,0.0,,
2026-05-15,创新药ETF,False,0.0,,
2026-05-15,半导体ETF,True,0.3003767730576145,0.012240157434447957,0.447382590981183
2026-05-15,恒生科技ETF,True,0.03736729230446484,0.0008452767341814993,0.055655022453803916
2026-05-15,房地产ETF,True,0.07226338718402502,0.001311383093217816,0.10762943173793438
2026-05-15,旅游ETF,False,0.0,,
2026-05-15,机器人ETF嘉实,True,0.3091301566790696,0.008308875400210636,0.4604199220789097
2026-05-15,消费50ETF,False,0.0,,
2026-05-15,游戏ETF,False,0.0,,
2026-05-15,电池ETF,False,0.0,,
2026-05-15,科创50ETF,False,0.0,,
