策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
行业动量轮动策略,-0.14931137689755092,0.25912902051692427,-0.4946971681517227,-0.21749279502399615,-0.686511830799164,-0.6790237944030352,0.3782051282051282,59,156
科创50ETF,0.2719368376740603,0.4740186093283419,0.7426864386454358,-0.3004053451390257,0.9052330195663117,1.0917629867231142,0.5512820512820513,86,156
行业等权重组合,-0.11763355542043319,0.19060205871326982,-0.5614073357811945,-0.12783672781544125,-0.9201859076857908,-0.7482203320411406,0.46153846153846156,72,156
