Date,行业动量轮动策略,科创50ETF,行业等权重组合
2026-01-06,0.0,0.0,0.0
2026-01-07,0.0,0.0,-0.000956977331456378
2026-01-08,0.0,0.0,-0.0005065603579431935
2026-01-09,0.0,0.0,0.0
2026-01-12,0.0,0.0,0.0
2026-01-13,0.0,-0.028005702925290914,-0.009433051955786578
2026-01-14,0.0,-0.009335234308430305,-0.010454979210664525
2026-01-15,0.0,-0.01306932803180222,-0.012220231752404578
2026-01-16,0.0,-0.0006223489538953537,-0.013557372317267708
2026-01-19,0.0,-0.004978791631162829,-0.01465417542204118
2026-01-20,0.0,-0.021159864432442024,-0.019286839481288204
2026-01-21,0.0,0.0,-0.013968440249811148
2026-01-22,0.0,0.0,-0.01544496880741686
2026-01-23,0.0,0.0,-0.011393832459325532
2026-01-26,0.0,-0.01213728050116252,-0.021336842608285535
2026-01-27,0.0,0.0,-0.023242672262140152
2026-01-28,0.0,-0.003025140879438361,-0.023802650810040016
2026-01-29,0.0,-0.03085643697027108,-0.015173859258209106
2026-01-30,0.0,-0.03146146514615855,-0.02659043000016267
2026-02-02,0.0,-0.06776315569941868,-0.046804666580063416
2026-02-03,0.0,-0.05566259218166524,-0.03656409622659412
2026-02-04,0.0,-0.06594807117175566,-0.03671124733198546
2026-02-05,0.0,-0.07986371921717193,-0.039163279150770405
2026-02-06,0.0,-0.08530897280016078,-0.04383589955444815
2026-02-09,0.0,-0.06352795846820478,-0.029595586012092494
2026-02-10,-0.006593828949907747,-0.054452535829889695,-0.0251379448562034
2026-02-11,-0.006593828949907747,-0.06473801481998012,-0.026799318636532673
2026-02-12,-0.014140305256839104,-0.049007282246900645,-0.028993543574858283
2026-02-13,-0.014266688060879757,-0.05566259218166484,-0.03344695030566645
2026-02-24,-0.02203079699526247,-0.0586877330611032,-0.04121809676107888
2026-02-25,-0.013342978448993615,-0.05324247947811415,-0.036657756295513884
2026-02-26,-0.02599756631165191,-0.045982141367462086,-0.04357673920478463
2026-02-27,-0.024505313943258146,-0.04477208501568674,-0.04317585129418333
2026-03-02,-0.040092086779740674,-0.058082704885215525,-0.05727736656966384
2026-03-03,-0.049571116836884754,-0.10648495895622931,-0.08158074297937812
2026-03-04,-0.05228576910641035,-0.10951009983566766,-0.090137597643014
2026-03-05,-0.05040639445827735,-0.09559445179025121,-0.08251296422893946
2026-03-06,-0.047274103378055564,-0.09014919820726215,-0.07476411134484517
2026-03-09,-0.052494588511758825,-0.10587993078034173,-0.08201089482769866
2026-03-10,-0.04525209842118777,-0.08772908550371167,-0.06872859579087864
2026-03-11,-0.028918599861590077,-0.09861959266968977,-0.06853780497129389
2026-03-12,-0.026633757042808594,-0.11132518436333098,-0.07247284266458932
2026-03-13,-0.029233857409620437,-0.11495535341865701,-0.0757528496013125
2026-03-16,-0.024234362321312916,-0.11011512801155574,-0.06835962075058101
2026-03-17,-0.039981671695565296,-0.12826597328818581,-0.07514467788211161
2026-03-18,-0.04611492485588987,-0.11798049429809518,-0.072373981406871
2026-03-19,-0.06880605401609789,-0.13855145227827592,-0.08853986591818613
2026-03-20,-0.06620600361086275,-0.15246710032369248,-0.09847100420869924
2026-03-23,-0.08599302620326768,-0.18816376270106494,-0.12935257931737945
2026-03-24,-0.077923402228282,-0.1700129174244349,-0.1166911552750043
2026-03-25,-0.077923402228282,-0.1542821848513554,-0.10418243156175674
2026-03-26,-0.077923402228282,-0.17122297377621,-0.11499986015762793
2026-03-27,-0.077923402228282,-0.1633576074896703,-0.10580305625140753
2026-03-30,-0.077923402228282,-0.17001291742443467,-0.10875975806583234
2026-03-31,-0.08492225968696482,-0.1911889035805031,-0.11697090769184357
2026-04-01,-0.07097556553157196,-0.16396263566555805,-0.09940076987841864
2026-04-02,-0.0728836680862213,-0.18755873452517696,-0.11046131054624808
2026-04-03,-0.08382637248997254,-0.1911889035805032,-0.12053002898135258
