"Date","ETF","Weight"
2024-08-23,"沪深300ETF",0
2024-08-26,"沪深300ETF",0
2024-08-27,"沪深300ETF",0
2024-08-28,"沪深300ETF",0
2024-08-29,"沪深300ETF",0
2024-08-30,"沪深300ETF",0
2024-09-02,"沪深300ETF",0
2024-09-03,"沪深300ETF",0
2024-09-04,"沪深300ETF",0
2024-09-05,"沪深300ETF",0
2024-09-06,"沪深300ETF",0
2024-09-09,"沪深300ETF",0
2024-09-10,"沪深300ETF",0
2024-09-11,"沪深300ETF",0
2024-09-12,"沪深300ETF",0
2024-09-13,"沪深300ETF",0
2024-09-18,"沪深300ETF",0
2024-09-19,"沪深300ETF",0
2024-09-20,"沪深300ETF",0
2024-09-23,"沪深300ETF",0
2024-09-24,"沪深300ETF",0.13610908207325
2024-09-25,"沪深300ETF",0.24497959267946
2024-09-26,"沪深300ETF",0.412395267580628
2024-09-27,"沪深300ETF",0.578137911400253
2024-09-30,"沪深300ETF",0.626073266297317
2024-10-08,"沪深300ETF",0.629164985686366
2024-10-09,"沪深300ETF",0.578824420666916
2024-10-10,"沪深300ETF",0.529841162428382
2024-10-11,"沪深300ETF",0.287489266464487
2024-10-14,"沪深300ETF",0.300182399716904
2024-10-15,"沪深300ETF",0.272298233333578
2024-10-16,"沪深300ETF",0.248631138130837
2024-10-17,"沪深300ETF",0.238109709786545
2024-10-18,"沪深300ETF",0.287256179488712
2024-10-21,"沪深300ETF",0.29400086083325
2024-10-22,"沪深300ETF",0.348316576205071
2024-10-23,"沪深300ETF",0.310700262090789
2024-10-24,"沪深300ETF",0.370015082865419
2024-10-25,"沪深300ETF",0.400584186471739
2024-10-28,"沪深300ETF",0.394803025822576
2024-10-29,"沪深300ETF",0.296493268660575
2024-10-30,"沪深300ETF",0.23255215117617
2024-10-31,"沪深300ETF",0.237200351165342
2024-11-01,"沪深300ETF",0.106617078949388
2024-11-04,"沪深300ETF",0
2024-11-05,"沪深300ETF",0
2024-11-06,"沪深300ETF",0.112487185790477
2024-11-07,"沪深300ETF",0.243902585802237
2024-11-08,"沪深300ETF",0.3093597048038
2024-11-11,"沪深300ETF",0.283256773919242
2024-11-12,"沪深300ETF",0.518951780251581
2024-11-13,"沪深300ETF",0.546037985134682
2024-11-14,"沪深300ETF",0.545661760708439
2024-11-15,"沪深300ETF",0.218388740875939
2024-11-18,"沪深300ETF",0.190249708166608
2024-11-19,"沪深300ETF",0.146357945143741
2024-11-20,"沪深300ETF",0.101549251118929
2024-11-21,"沪深300ETF",0.265925662633779
2024-11-22,"沪深300ETF",0
2024-11-25,"沪深300ETF",0
2024-11-26,"沪深300ETF",0
2024-11-27,"沪深300ETF",0.110905198872301
2024-11-28,"沪深300ETF",0
2024-11-29,"沪深300ETF",0.0790807594682662
2024-12-02,"沪深300ETF",0.0190846189256256
2024-12-03,"沪深300ETF",0
2024-12-04,"沪深300ETF",0
2024-12-05,"沪深300ETF",0
2024-12-06,"沪深300ETF",0
2024-12-09,"沪深300ETF",0
2024-12-10,"沪深300ETF",0
2024-12-11,"沪深300ETF",0
2024-12-12,"沪深300ETF",0
2024-12-13,"沪深300ETF",0
2024-12-16,"沪深300ETF",0
2024-12-17,"沪深300ETF",0
2024-12-18,"沪深300ETF",0
2024-12-19,"沪深300ETF",0
2024-12-20,"沪深300ETF",0.30441655548099
2024-12-23,"沪深300ETF",0.295066342578751
2024-12-24,"沪深300ETF",0.36027924613218
2024-12-25,"沪深300ETF",0.271091784182034
2024-12-26,"沪深300ETF",0.291430875831964
2024-12-27,"沪深300ETF",0.241203072035818
2024-12-30,"沪深300ETF",0.230926636322778
2024-12-31,"沪深300ETF",0
2025-01-02,"沪深300ETF",0
2025-01-03,"沪深300ETF",0
2025-01-06,"沪深300ETF",0
2025-01-07,"沪深300ETF",0
2025-01-08,"沪深300ETF",0
2025-01-09,"沪深300ETF",0
2025-01-10,"沪深300ETF",0
2025-01-13,"沪深300ETF",0
2025-01-14,"沪深300ETF",0
2025-01-15,"沪深300ETF",0
2025-01-16,"沪深300ETF",0
2025-01-17,"沪深300ETF",0
2025-01-20,"沪深300ETF",0
2025-01-21,"沪深300ETF",0
2025-01-22,"沪深300ETF",0
2025-01-23,"沪深300ETF",0
2025-01-24,"沪深300ETF",0
2025-01-27,"沪深300ETF",0
2025-02-05,"沪深300ETF",0
2025-02-06,"沪深300ETF",0
2025-02-07,"沪深300ETF",0.229477893312296
2025-02-10,"沪深300ETF",0.311842947067379
2025-02-11,"沪深300ETF",0.268653231095697
2025-02-12,"沪深300ETF",0.30856255801298
2025-02-13,"沪深300ETF",0.302455220483725
2025-02-14,"沪深300ETF",0.35749243922236
2025-02-17,"沪深300ETF",0.534673958678426
2025-02-18,"沪深300ETF",0.384462859518515
2025-02-19,"沪深300ETF",0.333427219639402
2025-02-20,"沪深300ETF",0.370364614507441
2025-02-21,"沪深300ETF",0.515819293940226
2025-02-24,"沪深300ETF",0.478544624791638
2025-02-25,"沪深300ETF",0.348000233334727
2025-02-26,"沪深300ETF",0.439361937699262
2025-02-27,"沪深300ETF",0.588898972764055
2025-02-28,"沪深300ETF",0.448988027102748
2025-03-03,"沪深300ETF",0.331902663749608
2025-03-04,"沪深300ETF",0.347299364419829
2025-03-05,"沪深300ETF",0.61174808440158
2025-03-06,"沪深300ETF",0.572456016035322
2025-03-07,"沪深300ETF",0.441162337658403
2025-03-10,"沪深300ETF",0.628022345100506
2025-03-11,"沪深300ETF",1
2025-03-12,"沪深300ETF",1
2025-03-13,"沪深300ETF",0.37484665805135
