Date,动量策略,沪深300ETF,等权重组合
2025-01-02,0.0,0.0,0.0
2025-01-05,0.0,-0.004330094472705242,0.0
2025-01-06,0.0,0.0,0.0
2025-01-07,0.0,-0.0016189658631086358,-0.003881319258325899
2025-01-08,0.0,-0.0037775870139205234,-0.0021015849489778885
2025-01-09,0.0,-0.015380175699534279,-0.008747366938763573
2025-01-12,0.0,-0.01942759035730665,-0.01582990377720079
2025-01-13,0.0,0.0,0.0
2025-01-14,0.0,-0.006162800565723577,-0.004573601922809498
2025-01-15,0.0,-0.005626904864356363,0.0
2025-01-16,0.0,-0.0021435828054688576,0.0
2025-01-19,0.0,0.0,0.0
2025-01-20,0.0,0.0,0.0
2025-01-21,0.0,-0.009604944636271382,0.0
2025-01-22,0.0,-0.006670100441855078,-0.003996062446871182
2025-01-23,0.0,0.0,0.0
2025-01-26,0.0,-0.005858746429231306,-0.01288964610203982
2025-02-04,0.0,-0.01118487954671424,-0.0002475457367008767
2025-02-05,0.0,0.0,0.0
2025-02-06,0.0,0.0,0.0
2025-02-09,0.0,0.0,0.0
2025-02-10,0.0,-0.00419059946855997,0.0
2025-02-11,0.0,0.0,0.0
2025-02-12,0.0,-0.002604119537667936,-0.0038905223240891292
2025-02-13,0.0,0.0,0.0
2025-02-16,-0.007921114279125787,0.0,0.0
2025-02-17,-0.004983497030055925,-0.007499218731791999,-0.00299730034334604
2025-02-18,-0.0005806430550994714,-0.002068749994977251,0.0
2025-02-19,0.0,-0.005171874987442913,-0.0019237631861890665
2025-02-20,0.0,0.0,0.0
2025-02-23,-0.0011045903709317733,-0.0033324194849683572,-0.0049218484748115325
2025-02-24,-0.004918408082604221,-0.013842357860637628,-0.014645822272915653
2025-02-25,-0.006322577627522458,-0.005383139168026004,-0.013558590841872995
2025-02-26,-0.006475074886067073,-0.002050719683057647,-0.01569444177279401
2025-02-27,-0.01785263096167082,-0.02076353679095623,-0.04215328162003989
2025-03-02,-0.018938462105388864,-0.0240959562759248,-0.040355822401918304
