Date,纳指ETF,沪深300ETF,黄金ETF,科技ETF华宝,权重合计
2026-01-04,0.0,0.36970689574770604,0.31109709242931033,0.31919601182298357,1.0
2026-01-11,0.0,0.3614757464112619,0.351051003050175,0.28747325053856315,1.0
2026-01-18,0.03078519519988984,0.28389408545080397,0.29947262906198246,0.38584809028732375,1.0
2026-01-25,0.0,0.1379171865750155,0.6170137980465675,0.24506901537841694,1.0
2026-02-01,0.0,0.0,0.7476745259733726,0.25232547402662747,1.0
2026-02-08,0.0,0.0,1.0,0.0,1.0
2026-02-23,0.0,0.0,1.0,0.0,1.0
2026-03-02,0.0,0.0,1.0,0.0,1.0
2026-03-09,0.0,0.3139823874344275,0.6860176125655725,0.0,1.0
2026-03-16,0.0,0.0,0.0,0.0,0.0
2026-03-23,0.0,0.0,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0,0.0,0.0
2026-04-07,0.6576853279470274,0.0,0.0,0.3423146720529726,1.0
2026-04-14,0.35945802650523484,0.1195490638977343,0.0,0.5209929095970308,1.0
2026-04-21,0.2169594815128106,0.2637169268285252,0.18983307390812013,0.329490517750544,1.0
2026-04-28,0.34332003281976486,0.2907551795012451,0.0,0.3659247876789901,1.0
2026-05-10,0.34559321027058937,0.30407635253812404,0.0,0.35033043719128654,1.0
2026-05-17,0.39429759819542454,0.1808652054606941,0.0,0.4248371963438814,1.0
2026-05-24,0.49914024783823396,0.12178416695380508,0.0,0.3790755852079609,1.0
2026-05-31,0.5967701756700692,0.06022584312253063,0.0,0.34300398120740033,1.0000000000000002
2026-06-07,0.15621971589485348,0.0,0.0,0.8437802841051465,1.0
2026-06-14,0.43670099994871786,0.14571847215988173,0.0,0.4175805278914005,1.0
2026-06-22,0.0,0.05589644736842774,0.0,0.9441035526315722,0.9999999999999999
2026-06-29,0.0,0.19585326585435303,0.0,0.8041467341456469,0.9999999999999999
2026-07-06,0.20511175639184906,0.17629419761739767,0.0,0.6185940459907532,0.9999999999999999
2026-07-13,0.0,0.0,0.0,1.0,1.0
2026-07-20,0.0,0.0,0.0,0.0,0.0
2026-07-27,0.0,0.0,1.0,0.0,1.0
2026-08-03,1.0,0.0,0.0,0.0,1.0
2026-08-10,0.1653879360365167,0.0,0.8346120639634833,0.0,1.0
2026-08-17,0.33271757980643357,0.011305675128781747,0.6559767450647846,0.0,1.0
2026-08-24,0.25440984573582204,0.0,0.7373647701693953,0.008225384094782765,1.0
2026-08-31,0.17160765007761983,0.09429518869752329,0.6113006722975342,0.12279648892732267,1.0
