Stock,SelectedCount
中际旭创,29
新易盛,28
建设银行,19
胜宏科技,19
天孚通信,18
紫金矿业,18
药明康德,18
寒武纪,17
海光信息,17
赤峰黄金,17
农业银行,16
工业富联,15
长城军工,14
宁德时代,13
中国人保,12
赣锋锂业,12
新华保险,11
北方稀土,10
比亚迪,10
贵州茅台,10
科大讯飞,9
中芯国际,8
