Date,龙头动量轮动策略,沪深300ETF |,等权重组合
2021-06-24,0.0,-0.10521877243568224,0.0
2021-06-25,0.0,-0.09142796245624835,0.0
2021-06-28,0.0,-0.08989565023631127,0.0
2021-06-29,0.0,-0.09908952355593398,0.0
2021-06-30,0.0,-0.09381155924281737,0.0
2021-07-01,0.0,-0.09415207306947018,0.0
2021-07-02,0.0,-0.11815829784848458,0.0
2021-07-05,0.0,-0.11696649945520032,0.0
2021-07-06,0.0,-0.11577470106191595,0.0
2021-07-07,0.0,-0.10675108465561971,0.0
2021-07-08,0.0,-0.11424238884197868,0.0
2021-07-09,0.0,-0.11832855476181103,0.0
2021-07-12,0.0,-0.10675108465561971,0.0
2021-07-13,0.0,-0.10402697404239808,0.0
2021-07-14,0.0,-0.11373161810199953,0.0
2021-07-15,0.0,-0.1021541479958081,0.0
2021-07-16,0.0,-0.11083725057545164,0.0
2021-07-19,0.0,-0.10709159848227211,0.0
2021-07-20,0.0,-0.10930493835551458,0.0
2021-07-21,0.0,-0.10266491873578726,0.0
2021-07-22,0.0,-0.1018136341691556,0.0
2021-07-23,0.0,-0.1106669936621255,0.0
2021-07-26,0.0,-0.14046195349423576,0.0
2021-07-27,0.0,-0.16991639949969334,0.0
2021-07-28,0.0,-0.1682138303664299,0.0
2021-07-29,0.0,-0.1534014789070379,0.0
2021-07-30,0.0,-0.15919021396013366,0.0
2021-08-02,0.0,-0.1385891274476459,0.0
2021-08-03,0.0,-0.1382486136209932,0.0
2021-08-04,0.0,-0.130757309434634,0.0
2021-08-05,0.0,-0.13586501683442426,0.0
2021-08-06,0.0,-0.1385891274476459,0.0
2021-08-09,0.0,-0.12922499721469694,0.0
2021-08-10,0.0,-0.11952035315509539,0.0
2021-08-11,0.0,-0.12411728981490659,0.0
2021-08-12,0.0,-0.12956551104134956,0.0
2021-08-13,0.0,-0.13416244770116095,0.0
2021-08-16,0.0,-0.1346732184411399,0.0
2021-08-17,0.0,-0.1537419927336903,0.0
2021-08-18,0.0,-0.14471837632739426,0.0
2021-08-19,0.0,-0.15050711138048992,0.0
2021-08-20,0.0,-0.16583023357986088,0.0
2021-08-23,0.0,-0.15357173582036415,0.0
2021-08-24,0.0,-0.14471837632739426,0.0
2021-08-25,0.0,-0.14233477954082543,0.0
2021-08-26,0.0,-0.15680661717356464,0.0
2021-08-27,0.0,-0.15459327730032216,0.0
2021-08-30,0.0,-0.1576579017401964,0.0
2021-08-31,0.0,-0.1579984155668491,0.0
2021-09-01,0.0,-0.14608043163400486,0.0
2021-09-02,0.0,-0.1467614592873102,0.0
2021-09-03,0.0,-0.15135839594712158,0.0
2021-09-06,0.0,-0.13705681522770863,0.0
2021-09-07,0.0,-0.12633062968814887,0.0
2021-09-08,0.0,-0.12990602486800204,0.0
2021-09-09,0.0,-0.13024653869465494,0.0
2021-09-10,0.0,-0.12190394994166391,0.0
2021-09-13,0.0,-0.12650088660147532,0.0
2021-09-14,0.0,-0.13773784288101393,0.0
2021-09-15,0.0,-0.14676145928731008,0.0
2021-09-16,0.0,-0.15629584643358527,0.0
2021-09-17,0.0,-0.14965582681385825,0.0
2021-09-22,0.0,-0.15527430495362757,0.0
2021-09-23,0.0,-0.15033685446716347,0.0
2021-09-24,0.0,-0.1491450560738791,0.0
2021-09-27,0.0,-0.14369683484743603,0.0
2021-09-28,0.0,-0.14522914706737322,0.0
2021-09-29,0.0,-0.15084762520714243,0.0
2021-09-30,0.0,-0.1484640284205738,0.0
2021-10-08,0.0,-0.13637578757440333,0.0
2021-10-11,0.0,-0.13654604448772967,0.0
2021-10-12,0.0,-0.14539940398069956,0.0
2021-10-13,0.0,-0.13586501683442426,0.0
2021-10-14,0.0,-0.14046195349423565,0.0
2021-10-15,0.0,-0.1363757875744034,0.0
2021-10-18,0.0,-0.1462506885473313,0.0
2021-10-19,0.0,-0.1382486136209932,0.0
2021-10-20,0.0,-0.14063221040756202,0.0
2021-10-21,0.0,-0.13688655831438237,0.0
2021-10-22,0.0,-0.13126808017461317,0.0
2021-10-25,0.0,-0.1283737126480653,0.0
2021-10-26,0.0,-0.13126808017461317,0.0
2021-10-27,0.0,-0.14250503645415177,0.0
2021-10-28,0.0,-0.14608043163400497,0.0
2021-10-29,0.0,-0.14063221040756202,0.0
2021-11-01,0.0,-0.14335632102078355,0.0
2021-11-02,0.0,-0.15220968051375344,0.0
2021-11-03,0.0,-0.15561481878028038,0.0
2021-11-04,0.0,-0.14761274385394205,0.0
2021-11-05,0.0,-0.15050711138048992,0.0
2021-11-08,0.0,-0.15118813903379522,0.0
2021-11-09,0.0,-0.15152865286044814,0.0
2021-11-10,0.0,-0.1557850756936066,0.0
2021-11-11,0.0,-0.14216452262749898,0.0
2021-11-12,0.0,-0.14250503645415177,0.0
2021-11-15,0.0,-0.1435265779341098,0.0
2021-11-16,0.0,-0.1442076055874152,0.0
2021-11-17,0.0,-0.14437786250074167,0.0
2021-11-18,0.0,-0.15186916668710082,0.0
2021-11-19,0.0,-0.14250503645415188,0.0
2021-11-22,0.0,-0.14029169658090943,0.0
2021-11-23,0.0,-0.13978092584093046,0.0
2021-11-24,0.0,-0.13790809979434068,0.0
2021-11-25,0.0,-0.14114298114754129,0.0
2021-11-26,0.0,-0.14829377150724765,0.0
2021-11-29,0.0,-0.14948556990053202,0.0
2021-11-30,0.0,-0.15255019434040634,0.0
2021-12-01,0.0,-0.15033685446716366,0.0
2021-12-02,0.0,-0.14863428533390013,0.0
2021-12-03,0.0,-0.1409727242342146,0.0
2021-12-06,0.0,-0.14182400880084636,0.0
2021-12-07,0.0,-0.13705681522770882,0.0
2021-12-08,0.0,-0.12479831746821189,0.0
2021-12-09,0.0,-0.11049673674879894,0.0
2021-12-10,0.0,-0.11305059044869423,0.0
2021-12-13,0.0,-0.11083725057545185,0.0
2021-12-14,0.0,-0.11611521488856856,0.0
