策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
龙头动量轮动策略,0.48407684872710965,0.36043128189664286,1.2751284640246614,-0.18029909077871242,2.6848546303610297,1.948591889423108,0.46511627906976744,80,172
科创50ETF,0.2176046482623224,0.46167836733822415,0.655514301966349,-0.31016427584269485,0.7015786962283314,0.9689110435065855,0.5290697674418605,91,172
等权重组合,0.05286883650368135,0.28428680250198807,0.32290117724560513,-0.15585905538432962,0.3392092706664568,0.455743388198865,0.5116279069767442,88,172
