策略,年化收益率,年化波动率,夏普比率,最大回撤,卡尔马比率,索提诺比率,胜率,正收益天数,总交易天数
龙头动量轮动策略,0.7948455016392697,0.374513995714659,1.7505928009777427,-0.20363462106554153,3.903292561354004,2.7106078739692685,0.5072463768115942,210,414
科创50ETF,0.3741920587284109,0.37529340942141004,1.0342214199323225,-0.31052001112598693,1.205049740181126,1.558916087336173,0.5193236714975845,215,414
等权重组合,0.8253418745109029,0.35777263855720537,1.8629077015952962,-0.25693877789605296,3.2122121902704888,2.8222130834332604,0.533816425120773,221,414
