Date,龙头动量轮动策略,科创50ETF,等权重组合
2025-01-03,0.0,0.0,0.0
2025-01-06,0.0,-0.003987576336750394,0.0
2025-01-07,0.0,0.0,0.0
2025-01-08,0.0,-0.0009726532767487417,-0.006301942446379417
2025-01-09,0.0,-0.0029179598302462254,-0.004314385204783857
2025-01-10,0.0,-0.012644492597733313,-0.01976205744077408
2025-01-13,0.0,-0.012644492597733313,-0.020998507266126676
2025-01-14,0.0,0.0,0.0
2025-01-15,0.0,-0.004775022008484594,-0.010199904116644946
2025-01-16,0.0,-0.02483011444412015,-0.0035039997937182147
2025-01-17,0.0,-0.016235074828847708,0.0
2025-01-20,0.0,-0.014325066025454001,0.0
2025-01-21,0.0,-0.00573002641018134,0.0
2025-01-22,0.0,-0.007640035213575265,0.0
2025-01-23,0.0,-0.015280070427150962,-0.004526380899378985
2025-01-24,0.0,-0.007640035213575481,0.0
2025-01-27,0.0,-0.02674012324751386,-0.030243889051113353
2025-02-05,0.0,0.0,-0.05173871939809902
2025-02-06,0.0,0.0,-0.029514652735452344
2025-02-07,0.0,0.0,-0.01022476628352566
2025-02-10,0.0,0.0,0.0
2025-02-11,0.0,-0.012679831798478787,0.0
2025-02-12,0.0,0.0,0.0
2025-02-13,0.0,-0.02344210123266265,-0.013154926601334204
2025-02-14,0.0,-0.018934004841766033,-0.0052679997304993795
2025-02-17,-0.01853057495102217,-0.005409715669076184,0.0
2025-02-18,-0.014674613955525342,-0.02975343617991799,-0.00926893281543671
2025-02-19,-0.009076920620903354,-0.006311334947255548,-0.003007959615770537
2025-02-20,-0.0022497266553701814,-0.007212954225434913,-0.0037698625091590445
2025-02-21,0.0,0.0,0.0
2025-02-24,-0.016171193933506876,0.0,-0.009727635697760004
2025-02-25,-0.03197976736701732,0.0,-0.022094721123787207
2025-02-26,-0.029137680081122712,0.0,-0.010643174125760105
2025-02-27,-0.04107604398828513,-0.0008360395986835552,-0.020087034290921076
2025-02-28,-0.08286784097651893,-0.04431009873021669,-0.0593074743617384
2025-03-03,-0.09812888972062418,-0.056014653111783254,-0.060093199009697146
2025-03-04,-0.11092519884388223,-0.03929386113811669,-0.06150418529351382
2025-03-05,-0.10019906271338007,-0.036785742342066594,-0.049963262177640966
2025-03-06,-0.07157335128109367,-0.004180197993416452,-0.03190330998181639
2025-03-07,-0.07781210291806985,-0.015884752374983196,-0.03968672562222905
2025-03-10,-0.07140405717053183,-0.019228910769716473,-0.033905456477486814
2025-03-11,-0.06317062831680335,-0.023409108763133114,-0.02822501938794639
2025-03-12,-0.06999726932644375,-0.03009742555259966,-0.028426409096932427
2025-03-13,-0.07550435664764435,-0.05016237592099969,-0.032927753572602615
2025-03-14,-0.018210231029162267,-0.03344158394733294,0.0
2025-03-17,0.0,-0.038457821539432946,0.0
2025-03-18,-0.005545230192731073,-0.03344158394733294,0.0
2025-03-19,-0.0397491410229782,-0.04598217792758324,-0.011315025009938362
